variable,type,skewed
RIAGENDR,categorical,
RIDRETH3,categorical__to_encode,
RIDAGEYR,numerical,no
BMXWT,numerical,yes
BMXHT,numerical,no
BMXBMI,numerical,yes
BPXPLS,numerical,yes
BPXPULS,categorical,
ALQ120Q,numerical,yes
ALQ120U,categorical,
ALQ130,numerical,yes
BPQ020,categorical,
BPQ050A,categorical,
BPQ080,categorical,
BPQ100D,categorical,
DIQ010,categorical,
MCQ170M,categorical,
SMQ681,categorical,
Systolic,numerical,yes
Diastolic,numerical,no
avg_daily_vigorous_activity,numerical,yes
avg_daily_moderate_activity,numerical,yes
DR1TKCAL_t,numerical,yes
DR1TPROT_t,numerical,yes
DR1TCARB_t,numerical,yes
DR1TSUGR_t,numerical,yes
DR1TFIBE_t,numerical,yes
DR1TTFAT_t,numerical,yes
DR1TSFAT_t,numerical,yes
DR1TMFAT_t,numerical,yes
DR1TPFAT_t,numerical,yes
DR1TCHOL_t,numerical,yes
DR1TSODI_t,numerical,yes
DR1TVD_t,numerical,yes
DR1TCALC_t,numerical,yes
DR1TIRON_t,numerical,yes
DR1TPOTA_t,numerical,yes
avgALC,numerical,yes

